Red,IR
106063,70003
106157,70101
106178,70160
106106,70104
106146,70216
106093,70217
106167,70212
106169,70213
106110,70199
106171,70184
106200,70216
106187,70269
106191,70229
106235,70271
106216,70237
106185,70258
106120,70219
106116,70198
106122,70198
106025,70215
106072,70195
106029,70186
106056,70188
106034,70188
106060,70243
106060,70187
106035,70246
106032,70193
106018,70155
106034,70193
105911,70160
105977,70184
105942,70160
105902,70191
105925,70156
105932,70214
105899,70166
105930,70224
105944,70208
105906,70177
105929,70168
105844,70164
105929,70170
105943,70194
105978,70207
105951,70149
105964,70187
105988,70209
105942,70193
105939,70185
105995,70156
105900,70148
105968,70157
105945,70158
105916,70121
105954,70119
105897,70117
105751,70010
105733,70049
105758,70077
105865,70087
105818,70096
105901,70094
105863,70119
105911,70120
105978,70099
105991,70178
105982,70123
105990,70149
105972,70132
105945,70132
106049,70145
106032,70167
106055,70160
106062,70162
106057,70173
106130,70197
106082,70181
106092,70219
106092,70176
106077,70193
106172,70193
106089,70222
106169,70233
106180,70226
106204,70241
106217,70276
106197,70244
106202,70285
106197,70236
106210,70246
106219,70272
106283,70286
106259,70256
106257,70250
106269,70239
106269,70253
106252,70266
106256,70244
106261,70250
106266,70263
106268,70249
106303,70250
106312,70251
106339,70254
106326,70302
106349,70275
106351,70304
106315,70259
106335,70282
106362,70292
106405,70301
106404,70325
106372,70310
106389,70382
106407,70303
106433,70360
106435,70334
106388,70345
106443,70356
106474,70345
106456,70328
106456,70337
106447,70306
106432,70368
106457,70325
106474,70404
106505,70373
106546,70375
106473,70392
106507,70392
106512,70383
106557,70398
106564,70403
106603,70419
106591,70451
106605,70430
106653,70484
106628,70446
106683,70460
106648,70431
106651,70480
106668,70499
106675,70463
106693,70525
106700,70503
106695,70528
106718,70533
106776,70535
106769,70555
106752,70543
106766,70530
106754,70532
106772,70553
106752,70559
106776,70561
106793,70543
106767,70567
106808,70562
106821,70542
106802,70530
106814,70588
106807,70619
106845,70583
106808,70595
106864,70565
106847,70614
106848,70572
106860,70615
106906,70597
106859,70618
106853,70564
106871,70601
106808,70587
106887,70599
106841,70592
106859,70627
106896,70603
106881,70592
106879,70630
106914,70587
106886,70696
106872,70624
106862,70608
106852,70614
106937,70629
106925,70610
106920,70609
106937,70625
106938,70618
106921,70659
106936,70632
