RED,IR
106340,73122
106379,73204
106473,73215
106267,72935
106098,72954
106209,73169
106578,73432
106580,73423
106356,73206
106287,73256
106256,73032
105913,72832
105908,72780
105831,72705
105969,72996
106317,73376
106604,73577
106635,73620
106713,73572
106667,73594
106530,73532
106522,73539
106616,73714
106700,73850
107120,74338
107268,74398
107269,74376
107303,74380
107354,74495
107469,74568
107542,74608
107467,74462
107329,74464
107237,74138
106802,73901
106648,73742
106583,73468
106320,72954
105147,71380
103511,70050
101485,68910
101064,68764
100169,67927
99422,67171
99014,67453
100052,68467
100976,69135
101641,69061
101464,69488
102204,69740
101924,69569
102361,70402
104135,71775
104598,71665
104227,71654
104438,72023
105334,72374
105414,72821
106456,73674
106783,73464
106912,73649
106904,73661
107103,74112
107415,74526
108054,74943
108214,75025
108181,74988
108122,74954
107990,74894
108039,74890
107957,74998
108075,75198
107957,75097
107829,74918
107805,74982
107795,74824
107725,74916
107729,74878
107789,74960
107832,75037
107935,75090
108035,75192
108124,75198
108158,75205
108126,75189
107975,75065
108014,75079
108002,75118
108028,75139
108129,75236
108263,75287
108176,75248
108142,75192
108169,75254
108182,75215
108124,75195
108139,75155
108140,75126
108015,75055
107986,75104
108016,75143
108048,75171
108164,75286
108203,75271
108116,75243
108110,75245
108207,75312
108262,75379
108230,75331
108152,75173
107996,75067
107876,74994
107767,74937
107744,74930
107750,74927
107744,74896
107581,74693
107325,74439
107101,74317
107174,74523
107388,74711
107539,74819
107595,74877
107639,74944
107703,75048
107808,75062
107860,75122
107907,75114
107931,75209
107939,75164
107920,75255
107959,75291
108018,75315
107976,75312
108094,75384
108100,75385
108151,75394
108143,75424
108144,75406
108157,75498
108178,75495
108117,75536
108246,75571
108276,75556
108361,75595
108410,75642
108335,75601
108327,75636
108345,75635
108331,75681
108389,75728
108455,75715
108453,75768
108586,75781
108493,75782
108478,75799
108517,75834
108516,75804
108552,75868
108566,75847
108593,75906
108659,75902
108619,75868
108608,75891
108641,75937
108650,75885
108705,75951
108709,75995
108733,75970
108645,75977
108658,75980
108753,75968
108723,75986
108714,76025
108769,76013
108777,76000
108687,75967
108639,75945
108640,75927
108670,75905
108736,75929
108678,75913
108645,75897
108623,75871
108639,75965
108646,75968
108695,75994
108651,76036
108775,76042
108732,76056
108769,76113
108828,76142
108846,76148
108863,76206
108939,76297
108991,76258
108882,76285
108991,76307
109067,76335
109029,76351
109092,76402
109115,76383
109168,76432
109241,76476
109148,76459
109100,76445
109108,76493
109180,76461
109159,76479
109210,76545
109247,76546
109271,76485
109170,76508
109126,76485
109169,76494
109132,76485
109178,76517
109188,76522
109181,76458
109187,76540
109133,76507
109122,76455
109071,76490
109140,76511
109082,76501
109129,76492
109147,76517
109171,76477
109046,76457
109027,76423
109014,76428
109003,76403
109016,76399
108935,76419
108965,76332
108875,76306
108860,76294
108880,76377
108848,76339
108852,76349
108903,76381
108928,76358
108897,76372
108904,76406
108932,76433
108967,76434
109009,76444
109018,76498
109012,76503
109039,76560
109069,76585
109154,76595
109170,76587
109105,76616
109131,76650
109182,76640
109195,76720
109217,76704
109268,76705
109167,76704
109256,76723
109257,76707
109232,76725
109283,76736
109237,76696
109193,76747
109232,76729
109175,76750
109209,76753
109301,76784
109324,76788
109329,76790
109283,76832
109286,76778
109276,76835
109304,76823
109362,76822
109308,76838
109378,76842
109414,76850
109339,76769
109321,76887
109372,76875
109404,76855
109377,76886
109411,76922
109497,76920
109479,76915
109425,76897
109420,76870
109439,76894
109438,76918
109461,76921
109427,76927
109480,76924
109508,76912
109397,76895
109442,76909
109470,76951
109468,76882
109529,76995
109567,77014
109581,76986
109523,76982
109565,76968
109587,76968
109620,76934
109640,77011
109567,77004
109574,76981
109589,76980
109585,76965
109599,76968
109597,76988
109551,76955
109518,76949
109558,76928
109552,76954
109528,76935
109597,76957
109560,76957
109646,76964
109537,76928
109578,76953
109593,77015
109581,76925
109604,76963
109632,76977
109710,76991
109661,77004
109644,76984
109654,76996
109692,76971
109696,77041
109698,77031
109713,77010
109692,77032
109787,77025
109672,76986
109691,76991
109754,77023
109739,76979
109770,77045
109778,77071
109749,77010
109799,77044
109721,77023
109778,77031
109781,77027
109772,76976
109758,77047
109762,76984
109816,77003
109752,76996
109773,77008
109767,77021
109792,76996
109814,77025
